EXP044698	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055974; READS055975; READS055976; READS055977	ALIGNS049780	PEAKS044685	GSE105576	ENCSR356ECR	EXP044671	430	HepG2 (hepatoblastoma)	READS055908; READS055909	ALIGNS049753	GSE106027	ENCSR867VPL
EXP039328	CTCF_HUMAN	Homo sapiens	1170	lower leg skin	READS045036; READS045037	ALIGNS044406	PEAKS041189	None	ENCSR252XWG	EXP039194	1170	lower leg skin	READS044707; READS044708	ALIGNS044272	None	ENCSR515JGE
EXP039345	JUND_HUMAN	Homo sapiens	879	liver	READS045091; READS045092	ALIGNS044423	PEAKS041206	GSE96409	ENCSR837GTK	EXP039193	879	liver	READS044706	ALIGNS044271	GSE96271	ENCSR621CSR
EXP039422	REST_HUMAN	Homo sapiens	879	liver	READS045317; READS045318	ALIGNS044500	PEAKS041283	None	ENCSR867WPH	EXP039193	879	liver	READS044706	ALIGNS044271	GSE96271	ENCSR621CSR
EXP039865	FOXA1_HUMAN	Homo sapiens	879	liver	READS046736; READS046737	ALIGNS044943	PEAKS041726	GSE96344	ENCSR735KEY	EXP039193	879	liver	READS044706	ALIGNS044271	GSE96271	ENCSR621CSR
EXP039928	None	Homo sapiens	879	liver	READS046943; READS046944	ALIGNS045006	PEAKS041789	None	ENCSR310NYI	EXP039193	879	liver	READS044706	ALIGNS044271	GSE96271	ENCSR621CSR
EXP039567	ZFX_HUMAN	Homo sapiens	10	HEK293T (embryonic kidney)	READS045795; READS045796; READS045797; READS045798	ALIGNS044645	PEAKS041428	None	ENCSR218GSN	EXP039192	10	HEK293T (embryonic kidney)	READS044702; READS044703; READS044704; READS044705	ALIGNS044270	None	ENCSR821YOI
EXP040012	CTCF_HUMAN	Homo sapiens	920	pancreas	READS047217; READS047218	ALIGNS045090	PEAKS041873	None	ENCSR572DUJ	EXP039191	920	pancreas	READS044701	ALIGNS044269	GSE96449	ENCSR888RBQ
EXP039537	CTCF_HUMAN	Homo sapiens	1170	lower leg skin	READS045698; READS045699	ALIGNS044615	PEAKS041398	None	ENCSR582MTM	EXP039190	1170	lower leg skin	READS044699; READS044700	ALIGNS044268	None	ENCSR570HXV
EXP039487	CTCF_HUMAN	Homo sapiens	1166	epithelial cell of prostate	READS045532; READS045533; READS045534; READS045535	ALIGNS044565	PEAKS041348	None	ENCSR196HOM	EXP039189	1166	epithelial cell of prostate	READS044695; READS044696; READS044697; READS044698	ALIGNS044267	None	ENCSR131SEB
EXP039314	HTF4_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS044990; READS044991; READS044992; READS044993	ALIGNS044392	PEAKS041175	None	ENCSR725VFL	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039424	None	Homo sapiens	356	GM12878 (female B-cells)	READS045321; READS045322; READS045323; READS045324	ALIGNS044502	PEAKS041285	GSE91555	ENCSR189YYK	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039483	ZNF24_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS045516; READS045517; READS045518; READS045519	ALIGNS044561	PEAKS041344	None	ENCSR072PWP	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039489	ATF2_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS045538; READS045539; READS045540; READS045541	ALIGNS044567	PEAKS041350	None	ENCSR961PPA	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039562	BHE40_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS045775; READS045776; READS045777; READS045778	ALIGNS044640	PEAKS041423	None	ENCSR987MTA	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039605	IKZF1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS045907; READS045908; READS045909; READS045910	ALIGNS044683	PEAKS041466	GSE92125	ENCSR874AFU	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039607	NR2C1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS045913; READS045914; READS045915; READS045916	ALIGNS044685	PEAKS041468	None	ENCSR784VIQ	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039659	IKZF1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046075; READS046076; READS046077; READS046078	ALIGNS044737	PEAKS041520	None	ENCSR441VHN	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039665	None	Homo sapiens	356	GM12878 (female B-cells)	READS046092; READS046093; READS046094; READS046095	ALIGNS044743	PEAKS041526	None	ENCSR822AHX	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039682	BACH1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046148; READS046149; READS046150; READS046151	ALIGNS044760	PEAKS041543	None	ENCSR636MKU	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039748	SMCA5_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046357; READS046358; READS046359; READS046360	ALIGNS044826	PEAKS041609	None	ENCSR706YUH	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039839	ARI3A_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046655; READS046656; READS046657; READS046658	ALIGNS044917	PEAKS041700	None	ENCSR778UBR	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039841	ZSC29_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046665; READS046666; READS046667; READS046668	ALIGNS044919	PEAKS041702	None	ENCSR412YGM	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039852	ZN687_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046699; READS046700; READS046701; READS046702	ALIGNS044930	PEAKS041713	None	ENCSR859FDL	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039936	P66B_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046967; READS046968; READS046969; READS046970	ALIGNS045014	PEAKS041797	None	ENCSR828NCB	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039944	ELF1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046993; READS046994; READS046995; READS046996	ALIGNS045022	PEAKS041805	None	ENCSR841NDX	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039979	NFXL1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047108; READS047109; READS047110; READS047111	ALIGNS045057	PEAKS041840	None	ENCSR746XEG	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039986	None	Homo sapiens	356	GM12878 (female B-cells)	READS047129; READS047130; READS047131; READS047132	ALIGNS045064	PEAKS041847	None	ENCSR680UQE	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039999	FOXK2_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047173; READS047174; READS047175; READS047176	ALIGNS045077	PEAKS041860	None	ENCSR861JUQ	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040024	COT1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047254; READS047255; READS047256; READS047257	ALIGNS045102	PEAKS041885	None	ENCSR514VYD	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040088	ZN592_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047450; READS047451; READS047452; READS047453	ALIGNS045166	PEAKS041949	None	ENCSR173ZVL	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040127	ZN217_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047575; READS047576; READS047577; READS047578	ALIGNS045205	PEAKS041988	None	ENCSR764CZW	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040132	MTA2_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047589; READS047590; READS047591; READS047592	ALIGNS045210	PEAKS041993	GSE91638	ENCSR293QAR	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040235	NFAC3_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS047959; READS047960; READS047961; READS047962; READS047963; READS047964; READS047965; READS047966	ALIGNS045313	PEAKS042069	None	ENCSR437GBJ	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040252	SRF_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS048027; READS048028; READS048029; READS048030	ALIGNS045330	PEAKS042086	None	ENCSR041XML	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040289	PAX8_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS048166; READS048167; READS048168; READS048169	ALIGNS045367	PEAKS042123	None	ENCSR192AFN	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP040302	ARNT_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS048210; READS048211; READS048212; READS048213	ALIGNS045380	PEAKS042136	None	ENCSR590KEQ	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP044833	RAD51_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS056346; READS056347; READS056348; READS056349; READS056350; READS056351; READS056352; READS056353	ALIGNS049915	PEAKS044820	GSE105699	ENCSR482TWQ	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP045042	SKIL_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS056904; READS056905; READS056906; READS056907; READS056908; READS056909; READS056910; READS056911	ALIGNS050124	PEAKS045029	None	ENCSR212YKD	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP045051	REQU_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS056940; READS056941; READS056942; READS056943	ALIGNS050133	PEAKS045038	GSE105568	ENCSR509FWH	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP045093	None	Homo sapiens	356	GM12878 (female B-cells)	READS057053; READS057054; READS057055; READS057056	ALIGNS050175	PEAKS045080	GSE105550	ENCSR342THD	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP045095	BMI1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS057061; READS057062; READS057063; READS057064	ALIGNS050177	PEAKS045082	GSE91792	ENCSR469WII	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP045269	MEF2B_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS057567; READS057568; READS057569; READS057570	ALIGNS050351	PEAKS045256	None	ENCSR177VFS	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP045295	ZN622_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS057640; READS057641; READS057642; READS057643; READS057644; READS057645	ALIGNS050377	PEAKS045282	None	ENCSR075FNZ	EXP039188	356	GM12878 (female B-cells)	READS044691; READS044692; READS044693; READS044694	ALIGNS044266	GSE92188	ENCSR956WYO
EXP039472	CTCF_HUMAN	Homo sapiens	1163	transverse colon	READS045486; READS045487	ALIGNS044550	PEAKS041333	None	ENCSR608WPS	EXP039187	1163	transverse colon	READS044689; READS044690	ALIGNS044265	None	ENCSR479HSY
EXP039618	CTCF_HUMAN	Homo sapiens	1169	sigmoid colon	READS045949; READS045950	ALIGNS044696	PEAKS041479	None	ENCSR222SQE	EXP039186	1169	sigmoid colon	READS044687; READS044688	ALIGNS044264	None	ENCSR187FNC
EXP039389	SSRP1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS045217; READS045218	ALIGNS044467	PEAKS041250	GSE96246	ENCSR571PDN	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039490	TGIF2_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS045542; READS045543	ALIGNS044568	PEAKS041351	GSE96512	ENCSR993LMB	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039649	HHEX_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS046043; READS046044	ALIGNS044727	PEAKS041510	GSE96294	ENCSR656JZL	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039738	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS046331; READS046332	ALIGNS044816	PEAKS041599	GSE96007	ENCSR260UJI	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039776	HLF_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS046458; READS046459	ALIGNS044854	PEAKS041637	GSE96221	ENCSR528PSI	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039889	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS046810; READS046811	ALIGNS044967	PEAKS041750	GSE96150	ENCSR396QWK	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039897	PBX2_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS046835; READS046836	ALIGNS044975	PEAKS041758	GSE96419	ENCSR849DFF	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039899	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS046839; READS046840	ALIGNS044977	PEAKS041760	GSE95953	ENCSR156CWW	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP040060	HBP1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS047361; READS047362	ALIGNS045138	PEAKS041921	GSE96268	ENCSR616WEG	EXP039185	430	HepG2 (hepatoblastoma)	READS044686	ALIGNS044263	GSE96132	ENCSR346XJA
EXP039547	CTCF_HUMAN	Homo sapiens	1142	Peyer's patch	READS045734; READS045735	ALIGNS044625	PEAKS041408	None	ENCSR799WDT	EXP039184	1142	Peyer's patch	READS044684; READS044685	ALIGNS044262	None	ENCSR921JFJ
EXP039870	TCF7_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046750; READS046751	ALIGNS044948	PEAKS041731	GSE96199	ENCSR501DKS	EXP039183	356	GM12878 (female B-cells)	READS044683	ALIGNS044261	GSE95996	ENCSR237VSG
EXP040014	TFDP1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS047223; READS047224; READS047225	ALIGNS045092	PEAKS041875	None	ENCSR017GBO	EXP039182	514	K562 (myelogenous leukemia)	READS044681; READS044682	ALIGNS044260	None	ENCSR556FBD
EXP039495	None	Homo sapiens	38	A549 (lung carcinoma)	READS045559; READS045560	ALIGNS044573	PEAKS041356	GSE91369	ENCSR979IOT	EXP039181	38	A549 (lung carcinoma)	READS044678; READS044679; READS044680	ALIGNS044259	GSE91296	ENCSR600LQZ
EXP039590	CEBPB_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS045864; READS045865	ALIGNS044668	PEAKS041451	GSE91324	ENCSR701TCU	EXP039181	38	A549 (lung carcinoma)	READS044678; READS044679; READS044680	ALIGNS044259	GSE91296	ENCSR600LQZ
EXP039640	BCL3_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS046013; READS046014; READS046015	ALIGNS044718	PEAKS041501	GSE91283	ENCSR544GUO	EXP039181	38	A549 (lung carcinoma)	READS044678; READS044679; READS044680	ALIGNS044259	GSE91296	ENCSR600LQZ
EXP040159	FOSL2_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS047680; READS047681	ALIGNS045237	PEAKS042020	GSE91293	ENCSR593DGU	EXP039181	38	A549 (lung carcinoma)	READS044678; READS044679; READS044680	ALIGNS044259	GSE91296	ENCSR600LQZ
EXP044679	EP300_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS055929; READS055930; READS055931	ALIGNS049761	PEAKS044666	GSE91317	ENCSR686BQM	EXP039181	38	A549 (lung carcinoma)	READS044678; READS044679; READS044680	ALIGNS044259	GSE91296	ENCSR600LQZ
EXP040134	CTCF_HUMAN	Homo sapiens	1136	gastrocnemius medialis	READS047597; READS047598	ALIGNS045212	PEAKS041995	None	ENCSR428BKN	EXP039180	1136	gastrocnemius medialis	READS044676; READS044677	ALIGNS044258	None	ENCSR456LAK
EXP039685	GCR_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS046160; READS046161; READS046162	ALIGNS044763	PEAKS041546	GSE91254	ENCSR385RUW	EXP039179	38	A549 (lung carcinoma)	READS044673; READS044674; READS044675	ALIGNS044257	GSE91242	ENCSR325PXS
EXP040068	CTCF_HUMAN	Homo sapiens	1150	ovary	READS047390; READS047391	ALIGNS045146	PEAKS041929	None	ENCSR493APD	EXP039178	1150	ovary	READS044671; READS044672	ALIGNS044256	None	ENCSR628RAE
EXP039439	JUNB_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS045372; READS045373	ALIGNS044517	PEAKS041300	GSE96455	ENCSR897MMC	EXP039177	356	GM12878 (female B-cells)	READS044670	ALIGNS044255	GSE95942	ENCSR136WQZ
EXP039604	GCR_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS045904; READS045905; READS045906	ALIGNS044682	PEAKS041465	GSE91327	ENCSR720DXT	EXP039176	38	A549 (lung carcinoma)	READS044667; READS044668; READS044669	ALIGNS044254	GSE91246	ENCSR344ERJ
EXP039696	CTCF_HUMAN	Homo sapiens	1163	transverse colon	READS046196; READS046197	ALIGNS044774	PEAKS041557	None	ENCSR769WKR	EXP039175	1163	transverse colon	READS044665; READS044666	ALIGNS044253	None	ENCSR567EKU
EXP040107	CTCF_HUMAN	Homo sapiens	920	pancreas	READS047514; READS047515	ALIGNS045185	PEAKS041968	None	ENCSR265PFQ	EXP039174	920	pancreas	READS044663; READS044664	ALIGNS044252	None	ENCSR676WCI
EXP039968	CTCF_HUMAN	Homo sapiens	1140	subcutaneous adipose tissue	READS047074; READS047075	ALIGNS045046	PEAKS041829	None	ENCSR762PCG	EXP039173	1140	subcutaneous adipose tissue	READS044661; READS044662	ALIGNS044251	None	ENCSR078CBW
EXP039740	CTCF_HUMAN	Homo sapiens	618	MM1.S (plasma cell myeloma)	READS046337; READS046338; READS046339; READS046340	ALIGNS044818	PEAKS041601	None	ENCSR402IDP	EXP039172	618	MM1.S (plasma cell myeloma)	READS044654; READS044655; READS044656; READS044657; READS044658; READS044659; READS044660	ALIGNS044250	GSE96008	ENCSR264HOB
EXP044734	EZH2_HUMAN	Homo sapiens	618	MM1.S (plasma cell myeloma)	READS056069; READS056070; READS056071; READS056072; READS056073; READS056074	ALIGNS049816	PEAKS044721	None	ENCSR703KWN	EXP039172	618	MM1.S (plasma cell myeloma)	READS044654; READS044655; READS044656; READS044657; READS044658; READS044659; READS044660	ALIGNS044250	GSE96008	ENCSR264HOB
EXP045179	EZH2_HUMAN	Homo sapiens	618	MM1.S (plasma cell myeloma)	READS057318; READS057319; READS057320	ALIGNS050261	PEAKS045166	None	ENCSR894QWM	EXP039172	618	MM1.S (plasma cell myeloma)	READS044654; READS044655; READS044656; READS044657; READS044658; READS044659; READS044660	ALIGNS044250	GSE96008	ENCSR264HOB
EXP040110	CEBPG_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS047524; READS047525; READS047526; READS047527	ALIGNS045188	PEAKS041971	None	ENCSR620VIC	EXP039171	514	K562 (myelogenous leukemia)	READS044652; READS044653	ALIGNS044249	None	ENCSR825KUF
EXP040101	CTCF_HUMAN	Homo sapiens	781	RWPE1 (prostate epithelial cells)	READS047492; READS047493; READS047494; READS047495; READS047496; READS047497	ALIGNS045179	PEAKS041962	None	ENCSR303GFI	EXP039170	781	RWPE1 (prostate epithelial cells)	READS044648; READS044649; READS044650; READS044651	ALIGNS044248	None	ENCSR061MKW
EXP039800	FOSL2_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS046528; READS046529; READS046530	ALIGNS044878	PEAKS041661	GSE91197	ENCSR067XTW	EXP039169	38	A549 (lung carcinoma)	READS044645; READS044646; READS044647	ALIGNS044247	GSE91190	ENCSR005CRY
EXP039935	CEBPB_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS046964; READS046965; READS046966	ALIGNS045013	PEAKS041796	GSE91231	ENCSR269IUA	EXP039169	38	A549 (lung carcinoma)	READS044645; READS044646; READS044647	ALIGNS044247	GSE91190	ENCSR005CRY
EXP040010	BCL3_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS047211; READS047212	ALIGNS045088	PEAKS041871	GSE91236	ENCSR288EPV	EXP039169	38	A549 (lung carcinoma)	READS044645; READS044646; READS044647	ALIGNS044247	GSE91190	ENCSR005CRY
EXP040070	None	Homo sapiens	38	A549 (lung carcinoma)	READS047396; READS047397; READS047398	ALIGNS045148	PEAKS041931	GSE91364	ENCSR951SNW	EXP039169	38	A549 (lung carcinoma)	READS044645; READS044646; READS044647	ALIGNS044247	GSE91190	ENCSR005CRY
EXP044955	EP300_HUMAN	Homo sapiens	38	A549 (lung carcinoma)	READS056696; READS056697; READS056698	ALIGNS050037	PEAKS044942	GSE91205	ENCSR124VXG	EXP039169	38	A549 (lung carcinoma)	READS044645; READS044646; READS044647	ALIGNS044247	GSE91190	ENCSR005CRY
EXP040028	CTCF_HUMAN	Homo sapiens	1135	right atrium auricular region	READS047266; READS047267	ALIGNS045106	PEAKS041889	None	ENCSR066GBX	EXP039168	1135	right atrium auricular region	READS044643; READS044644	ALIGNS044246	None	ENCSR457JBY
EXP039521	None	Homo sapiens	423	HeLa S3 (cervical adenocarcinoma)	READS045648; READS045649	ALIGNS044599	PEAKS041382	GSE91526	ENCSR140DSL	EXP039167	423	HeLa S3 (cervical adenocarcinoma)	READS044641; READS044642	ALIGNS044245	GSE91891	ENCSR580ECR
EXP039708	None	Homo sapiens	423	HeLa S3 (cervical adenocarcinoma)	READS046229; READS046230	ALIGNS044786	PEAKS041569	GSE92136	ENCSR887MXT	EXP039167	423	HeLa S3 (cervical adenocarcinoma)	READS044641; READS044642	ALIGNS044245	GSE91891	ENCSR580ECR
EXP039984	NF2L2_HUMAN	Homo sapiens	423	HeLa S3 (cervical adenocarcinoma)	READS047125; READS047126	ALIGNS045062	PEAKS041845	GSE91997	ENCSR707IUN	EXP039167	423	HeLa S3 (cervical adenocarcinoma)	READS044641; READS044642	ALIGNS044245	GSE91891	ENCSR580ECR
EXP044909	DEK_HUMAN	Homo sapiens	423	HeLa S3 (cervical adenocarcinoma)	READS056568; READS056569	ALIGNS049991	PEAKS044896	GSE91587	ENCSR219MKK	EXP039167	423	HeLa S3 (cervical adenocarcinoma)	READS044641; READS044642	ALIGNS044245	GSE91891	ENCSR580ECR
EXP045061	EP300_HUMAN	Homo sapiens	423	HeLa S3 (cervical adenocarcinoma)	READS056968; READS056969	ALIGNS050143	PEAKS045048	None	ENCSR680OFU	EXP039167	423	HeLa S3 (cervical adenocarcinoma)	READS044641; READS044642	ALIGNS044245	GSE91891	ENCSR580ECR
EXP045159	TTP_HUMAN	Homo sapiens	423	HeLa S3 (cervical adenocarcinoma)	READS057256; READS057257	ALIGNS050241	PEAKS045146	None	ENCSR184MFH	EXP039167	423	HeLa S3 (cervical adenocarcinoma)	READS044641; READS044642	ALIGNS044245	GSE91891	ENCSR580ECR
EXP039350	CREB3_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS045101; READS045102; READS045103; READS045104	ALIGNS044428	PEAKS041211	GSE91471	ENCSR093FKD	EXP039165	514	K562 (myelogenous leukemia)	READS044638; READS044639	ALIGNS044243	GSE91890	ENCSR578SNR
EXP039873	ZBED1_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS046759; READS046760	ALIGNS044951	PEAKS041734	GSE95985	ENCSR207PFI	EXP039163	356	GM12878 (female B-cells)	READS044636	ALIGNS044241	GSE96376	ENCSR785WMC
EXP044936	PEBB_HUMAN	Homo sapiens	356	GM12878 (female B-cells)	READS056649; READS056650	ALIGNS050018	PEAKS044923	GSE96428	ENCSR860UHK	EXP039163	356	GM12878 (female B-cells)	READS044636	ALIGNS044241	GSE96376	ENCSR785WMC
EXP039463	CTCF_HUMAN	Homo sapiens	1179	tibial nerve	READS045452; READS045453	ALIGNS044541	PEAKS041324	None	ENCSR822PJT	EXP039162	1179	tibial nerve	READS044634; READS044635	ALIGNS044240	None	ENCSR396WMW
EXP039464	None	Homo sapiens	10	HEK293T (embryonic kidney)	READS045454; READS045455; READS045456; READS045457	ALIGNS044542	PEAKS041325	None	ENCSR240XWM	EXP039161	10	HEK293T (embryonic kidney)	READS044630; READS044631; READS044632; READS044633	ALIGNS044239	GSE91623	ENCSR272LXW
EXP039520	FOXK2_HUMAN	Homo sapiens	10	HEK293T (embryonic kidney)	READS045644; READS045645; READS045646; READS045647	ALIGNS044598	PEAKS041381	GSE92123	ENCSR872BOU	EXP039161	10	HEK293T (embryonic kidney)	READS044630; READS044631; READS044632; READS044633	ALIGNS044239	GSE91623	ENCSR272LXW
EXP039727	ARNT_HUMAN	Homo sapiens	10	HEK293T (embryonic kidney)	READS046293; READS046294; READS046295; READS046296	ALIGNS044805	PEAKS041588	None	ENCSR760UKJ	EXP039161	10	HEK293T (embryonic kidney)	READS044630; READS044631; READS044632; READS044633	ALIGNS044239	GSE91623	ENCSR272LXW
